Date Time,,,,Event,,Survey,Actual,Prior,Revised
03/26/2012 07:00,BZ,148),,FGV Consumer Confidence,MAR,- -,- -,- -,- -
03/26/2012 10:00,BZ,149),,Trade Balance (FOB) - Weekly,25-Mar,- -,- -,- -,- -
03/26/2012 23:00,BZ,150),,Private Banks Lending,FEB,- -,- -,- -,- -
03/26/2012 23:00,BZ,151),,Outstanding Loans MoM%,FEB,- -,- -,- -,- -
03/26/2012 23:00,BZ,152),,Total Outstanding Loans,FEB,- -,- -,- -,- -
03/27/2012 04:00,BZ,153),,FIPE CPI - Weekly,23-Mar,- -,- -,- -,- -
03/27/2012 07:00,BZ,154),,FGV Construction Costs (MoM),MAR,- -,- -,- -,- -
03/28/2012,BZ,155),,Central Govt Budget,FEB,- -,- -,- -,- -
03/28/2012,BZ,156),,Long Term Rate - TJLP,1-Apr,- -,- -,6.00%,- -
03/29/2012 07:00,BZ,157),,FGV Inflation IGP-M (MoM),MAR,- -,- -,- -,- -
03/29/2012 07:00,BZ,158),,FGV Inflation IGP-M (YoY),MAR,- -,- -,- -,- -
03/29/2012 09:30,BZ,159),,Net Debt % GDP,FEB,- -,- -,- -,- -
03/29/2012 09:30,BZ,160),,Primary Budget Balance,FEB,- -,- -,- -,- -
03/29/2012 09:30,BZ,161),,Nominal Budget Balance,FEB,- -,- -,- -,- -
04/02/2012 07:00,BZ,162),,FGV CPI IPC-S,23-Mar,- -,- -,- -,- -
04/02/2012 09:00,BZ,163),,PMI Manufacturing,MAR,- -,- -,- -,- -
04/02/2012 10:00,BZ,164),,Trade Balance (FOB) - Monthly,MAR,- -,- -,- -,- -
04/02/2012 10:00,BZ,165),,EXPORTS - US$ million,MAR,- -,- -,- -,- -
04/02/2012 10:00,BZ,166),,IMPORTS - US$ million,MAR,- -,- -,- -,- -
04/02/2012 10:00,BZ,167),,Trade Balance (FOB) - Weekly,1-Apr,- -,- -,- -,- -
04/03/2012 08:00,BZ,168),,Industrial Production sa (MoM),FEB,- -,- -,- -,- -
04/03/2012 08:00,BZ,169),,Industrial Production YoY,FEB,- -,- -,- -,- -
04/04/2012 04:00,BZ,170),,FIPE CPI - Monthly,MAR,- -,- -,- -,- -
04-11 APR,BZ,171),,Commodity Price Index (MoM),MAR,- -,- -,- -,- -
04-11 APR,BZ,172),,Commodity Price Index (YoY),MAR,- -,- -,- -,- -
04-11 APR,BZ,173),,CNI Capacity Utilization,FEB,- -,- -,- -,- -
04/05/2012 08:00,BZ,174),,IBGE Inflation IPCA (MoM),MAR,- -,- -,- -,- -
04/05/2012 08:00,BZ,175),,IBGE Inflation IPCA (YoY),MAR,- -,- -,- -,- -
05-11 APR,BZ,176),,Vehicle Sales (Anfavea),MAR,- -,- -,- -,- -
05-11 APR,BZ,177),,Vehicle Production (Anfavea),MAR,- -,- -,- -,- -
05-11 APR,BZ,178),,Vehicle Exports (Anfavea),MAR,- -,- -,- -,- -
04/09/2012 07:00,BZ,179),,FGV Inflation IGP-DI,MAR,- -,- -,- -,- -
04/09/2012 07:00,BZ,180),,FGV CPI IPC-S,6-Apr,- -,- -,- -,- -
04/09/2012 10:00,BZ,181),,Trade Balance (FOB) - Weekly,8-Apr,- -,- -,- -,- -
04/11/2012 07:00,BZ,182),,FGV Preview Inflation IGP-M,10-Apr,- -,- -,- -,- -
11-18 APR,BZ,183),,Economic Activity Indx MoM SA,MAR,- -,- -,- -,- -
11-18 APR,BZ,184),,Economic Activity Indx YoY NSA,MAR,- -,- -,- -,- -
04/13/2012 08:00,BZ,185),,Broad Retail Sales (YoY),FEB,- -,- -,- -,- -
04/13/2012 08:00,BZ,186),,Retail Sales (MoM),FEB,- -,- -,- -,- -
04/13/2012 08:00,BZ,187),,Retail Sales (YoY),FEB,- -,- -,- -,- -
14-21 APR,BZ,188),,CAGED Formal Job Creation,MAR,- -,- -,- -,- -
15-22 APR,BZ,189),,Tax Collections,MAR,- -,- -,- -,- -
04/16/2012 07:00,BZ,190),,FGV Inflation IGP-10 (MoM),APR,- -,- -,- -,- -
04/16/2012 07:00,BZ,191),,FGV CPI IPC-S,13-Apr,- -,- -,- -,- -
04/16/2012 10:00,BZ,192),,Trade Balance (FOB) - Weekly,15-Apr,- -,- -,- -,- -
04/18/2012 07:00,BZ,193),,FGV Preview Inflation IGP-M,17-Apr,- -,- -,- -,- -
04/18/2012,BZ,194),,SELIC Target - Central Bank,18-Apr,- -,- -,- -,- -
04/23/2012 07:00,BZ,195),,FGV CPI IPC-S,20-Apr,- -,- -,- -,- -
04/23/2012 10:00,BZ,196),,Trade Balance (FOB) - Weekly,22-Apr,- -,- -,- -,- -
04/24/2012 08:00,BZ,197),,IBGE CPI IPCA-15 (MoM),APR,- -,- -,- -,- -
04/24/2012 09:30,BZ,198),,Current Account - Monthly,MAR,- -,- -,- -,- -
04/24/2012 09:30,BZ,199),,Foreign Investment,MAR,- -,- -,- -,- -
04/24/2012 23:00,BZ,200),,Private Banks Lending,MAR,- -,- -,- -,- -
04/24/2012 23:00,BZ,201),,Outstanding Loans MoM%,MAR,- -,- -,- -,- -
04/24/2012 23:00,BZ,202),,Total Outstanding Loans,MAR,- -,- -,- -,- -
04/25/2012 07:00,BZ,203),,FGV Construction Costs (MoM),APR,- -,- -,- -,- -
04/26/2012 07:00,BZ,204),,FGV Consumer Confidence,APR,- -,- -,- -,- -
04/26/2012 07:30,BZ,205),,COPOM Monetary Policy Meeting Minutes,,,,,
04/26/2012 08:00,BZ,206),,Unemployment Rate,MAR,- -,- -,- -,- -
04/26/2012,BZ,207),,Central Govt Budget,MAR,- -,- -,- -,- -
04/27/2012 07:00,BZ,208),,FGV Inflation IGP-M (MoM),APR,- -,- -,- -,- -
04/27/2012 07:00,BZ,209),,FGV Inflation IGP-M (YoY),APR,- -,- -,- -,- -
04/27/2012 09:30,BZ,210),,Net Debt % GDP,MAR,- -,- -,- -,- -
04/27/2012 09:30,BZ,211),,Primary Budget Balance,MAR,- -,- -,- -,- -
04/27/2012 09:30,BZ,212),,Nominal Budget Balance,MAR,- -,- -,- -,- -
04/30/2012 10:00,BZ,213),,Trade Balance (FOB) - Weekly,29-Apr,- -,- -,- -,- -
05/02/2012 09:00,BZ,214),,PMI Manufacturing,APR,- -,- -,- -,- -
05/02/2012 10:00,BZ,215),,Trade Balance (FOB) - Monthly,APR,- -,- -,- -,- -
05/02/2012 10:00,BZ,216),,EXPORTS - US$ million,APR,- -,- -,- -,- -
05/02/2012 10:00,BZ,217),,IMPORTS - US$ million,APR,- -,- -,- -,- -
02-09 MAY,BZ,218),,Commodity Price Index (MoM),APR,- -,- -,- -,- -
02-09 MAY,BZ,219),,Commodity Price Index (YoY),APR,- -,- -,- -,- -
05/03/2012 08:00,BZ,220),,Industrial Production sa (MoM),MAR,- -,- -,- -,- -
05/03/2012 08:00,BZ,221),,Industrial Production YoY,MAR,- -,- -,- -,- -
04-10 MAY,BZ,222),,CNI Capacity Utilization,MAR,- -,- -,- -,- -
05/07/2012 10:00,BZ,223),,Trade Balance (FOB) - Weekly,6-May,- -,- -,- -,- -
07-10 MAY,BZ,224),,Vehicle Sales (Anfavea),APR,- -,- -,- -,- -
07-10 MAY,BZ,225),,Vehicle Production (Anfavea),APR,- -,- -,- -,- -
07-10 MAY,BZ,226),,Vehicle Exports (Anfavea),APR,- -,- -,- -,- -
05/09/2012 08:00,BZ,227),,IBGE Inflation IPCA (MoM),APR,- -,- -,- -,- -
05/09/2012 08:00,BZ,228),,IBGE Inflation IPCA (YoY),APR,- -,- -,- -,- -
09-16 MAY,BZ,229),,Economic Activity Indx MoM SA,APR,- -,- -,- -,- -
09-16 MAY,BZ,230),,Economic Activity Indx YoY NSA,APR,- -,- -,- -,- -
05/14/2012 10:00,BZ,231),,Trade Balance (FOB) - Weekly,13-May,- -,- -,- -,- -
14-21 MAY,BZ,232),,CAGED Formal Job Creation,APR,- -,- -,- -,- -
15-22 MAY,BZ,233),,Tax Collections,APR,- -,- -,- -,- -
05/17/2012 08:00,BZ,234),,Broad Retail Sales (YoY),MAR,- -,- -,- -,- -
05/17/2012 08:00,BZ,235),,Retail Sales (MoM),MAR,- -,- -,- -,- -
05/17/2012 08:00,BZ,236),,Retail Sales (YoY),MAR,- -,- -,- -,- -
05/21/2012 10:00,BZ,237),,Trade Balance (FOB) - Weekly,20-May,- -,- -,- -,- -
21-31 MAY,BZ,238),,FGV Consumer Confidence,MAY,- -,- -,- -,- -
05/22/2012 08:00,BZ,239),,IBGE CPI IPCA-15 (MoM),MAY,- -,- -,- -,- -
05/24/2012 08:00,BZ,240),,Unemployment Rate,APR,- -,- -,- -,- -
05/24/2012 09:30,BZ,241),,Current Account - Monthly,APR,- -,- -,- -,- -
05/24/2012 09:30,BZ,242),,Foreign Investment,APR,- -,- -,- -,- -
05/24/2012 23:00,BZ,243),,Private Banks Lending,APR,- -,- -,- -,- -
05/24/2012 23:00,BZ,244),,Outstanding Loans MoM%,APR,- -,- -,- -,- -
05/24/2012 23:00,BZ,245),,Total Outstanding Loans,APR,- -,- -,- -,- -
05/28/2012 10:00,BZ,246),,Trade Balance (FOB) - Weekly,27-May,- -,- -,- -,- -
05/30/2012,BZ,247),,Central Govt Budget,APR,- -,- -,- -,- -
05/30/2012,BZ,248),,SELIC Target - Central Bank,30-May,- -,- -,- -,- -
05/31/2012 08:00,BZ,249),,Industrial Production sa (MoM),APR,- -,- -,- -,- -
05/31/2012 08:00,BZ,250),,Industrial Production YoY,APR,- -,- -,- -,- -
05/31/2012 09:30,BZ,251),,Net Debt % GDP,APR,- -,- -,- -,- -
05/31/2012 09:30,BZ,252),,Primary Budget Balance,APR,- -,- -,- -,- -
05/31/2012 09:30,BZ,253),,Nominal Budget Balance,APR,- -,- -,- -,- -
06/01/2012 08:00,BZ,254),,GDP (IBGE) 4Qtrs Accumulated,1Q,- -,- -,- -,- -
06/01/2012 08:00,BZ,255),,GDP (IBGE) QoQ,1Q,- -,- -,- -,- -
06/01/2012 08:00,BZ,256),,GDP (IBGE) YoY,1Q,- -,- -,- -,- -
06/01/2012 09:00,BZ,257),,PMI Manufacturing,MAY,- -,- -,- -,- -
06/01/2012 10:00,BZ,258),,Trade Balance (FOB) - Monthly,MAY,- -,- -,- -,- -
06/01/2012 10:00,BZ,259),,EXPORTS - US$ million,MAY,- -,- -,- -,- -
06/01/2012 10:00,BZ,260),,IMPORTS - US$ million,MAY,- -,- -,- -,- -
06/04/2012 10:00,BZ,261),,Trade Balance (FOB) - Weekly,3-Jun,- -,- -,- -,- -
05-12 JUN,BZ,262),,CNI Capacity Utilization,APR,- -,- -,- -,- -
06/06/2012 08:00,BZ,263),,IBGE Inflation IPCA (MoM),MAY,- -,- -,- -,- -
06/06/2012 08:00,BZ,264),,IBGE Inflation IPCA (YoY),MAY,- -,- -,- -,- -
06-13 JUN,BZ,265),,Commodity Price Index (MoM),MAY,- -,- -,- -,- -
06-13 JUN,BZ,266),,Commodity Price Index (YoY),MAY,- -,- -,- -,- -
06-12 JUN,BZ,267),,Vehicle Sales (Anfavea),MAY,- -,- -,- -,- -
06-12 JUN,BZ,268),,Vehicle Production (Anfavea),MAY,- -,- -,- -,- -
06-12 JUN,BZ,269),,Vehicle Exports (Anfavea),MAY,- -,- -,- -,- -
06/08/2012 07:30,BZ,270),,COPOM Monetary Policy Meeting Minutes,,,,,
06/11/2012 10:00,BZ,271),,Trade Balance (FOB) - Weekly,10-Jun,- -,- -,- -,- -
13-20 JUN,BZ,272),,Economic Activity Indx MoM SA,MAY,- -,- -,- -,- -
13-20 JUN,BZ,273),,Economic Activity Indx YoY NSA,MAY,- -,- -,- -,- -
06/14/2012 08:00,BZ,274),,Broad Retail Sales (YoY),APR,- -,- -,- -,- -
06/14/2012 08:00,BZ,275),,Retail Sales (MoM),APR,- -,- -,- -,- -
06/14/2012 08:00,BZ,276),,Retail Sales (YoY),APR,- -,- -,- -,- -
14-21 JUN,BZ,277),,CAGED Formal Job Creation,MAY,- -,- -,- -,- -
15-22 JUN,BZ,278),,Tax Collections,MAY,- -,- -,- -,- -
06/18/2012 10:00,BZ,279),,Trade Balance (FOB) - Weekly,17-Jun,- -,- -,- -,- -
18-29 JUN,BZ,280),,FGV Consumer Confidence,JUN,- -,- -,- -,- -
06/21/2012 08:00,BZ,281),,IBGE CPI IPCA-15 (MoM),JUN,- -,- -,- -,- -
06/21/2012 08:00,BZ,282),,Unemployment Rate,MAY,- -,- -,- -,- -
06/22/2012 09:30,BZ,283),,Current Account - Monthly,MAY,- -,- -,- -,- -
06/22/2012 09:30,BZ,284),,Foreign Investment,MAY,- -,- -,- -,- -
06/25/2012 10:00,BZ,285),,Trade Balance (FOB) - Weekly,24-Jun,- -,- -,- -,- -
06/25/2012 23:00,BZ,286),,Private Banks Lending,MAY,- -,- -,- -,- -
06/25/2012 23:00,BZ,287),,Outstanding Loans MoM%,MAY,- -,- -,- -,- -
06/25/2012 23:00,BZ,288),,Total Outstanding Loans,MAY,- -,- -,- -,- -
06/27/2012,BZ,289),,Central Govt Budget,MAY,- -,- -,- -,- -
06/27/2012,BZ,290),,Long Term Rate - TJLP,1-Jul,- -,- -,- -,- -
06/28/2012 09:30,BZ,291),,Net Debt % GDP,MAY,- -,- -,- -,- -
06/28/2012 09:30,BZ,292),,Primary Budget Balance,MAY,- -,- -,- -,- -
06/28/2012 09:30,BZ,293),,Nominal Budget Balance,MAY,- -,- -,- -,- -
07/02/2012 09:00,BZ,294),,PMI Manufacturing,JUN,- -,- -,- -,- -
07/02/2012 10:00,BZ,295),,Trade Balance (FOB) - Monthly,JUN,- -,- -,- -,- -
