Trade_Filename,Profit_Count,Loss_Count,Profit_Count_wrt_Limit,Loss_Count_wrt_Limit,Total_PNL,Total_Product_Count
trades.20200522.123806,0,0,0,0,0,0
trades.20200522.123807,0,1,0,1,-4110,1
trades.20200522.123808,0,0,0,0,0,0
summary.20200522,0,3,0,3,-13910,3
trades.20200521.123804,0,3,1,2,-8112,3
trades.20200521.123805,0,2,0,2,-12674,2
trades.20200521.123807,0,2,0,2,-7802,2
trades.20200521.123808,0,0,0,0,0,0
trades.20200521.123806,0,0,0,0,0,0
summary.20200521,0,7,1,6,-28588,7
trades.20200520.123804,0,2,0,2,-6701,2
trades.20200520.123805,0,1,1,0,-341,1
trades.20200520.123806,0,0,0,0,0,0
trades.20200520.123807,0,0,0,0,0,0
trades.20200520.123808,0,0,0,0,0,0
summary.20200520,0,3,1,2,-7042,3
trades.20200519.123804,0,3,1,2,-10758,3
trades.20200519.123805,0,0,0,0,0,0
trades.20200519.123806,0,0,0,0,0,0
trades.20200519.123807,0,1,0,1,-4211,1
trades.20200519.123808,0,1,0,1,-5453,1
trades.20200519.123901,0,0,0,0,0,0
summary.20200519,0,5,1,4,-20422,5
trades.20200518.123804,0,2,1,1,-10107,2
trades.20200518.123805,1,1,1,1,-1773,2
trades.20200518.123807,0,1,0,1,-3016,1
trades.20200518.123808,0,2,0,2,-8095,2
trades.20200518.123806,0,1,0,1,-3903,1
summary.20200518,1,7,2,6,-26894,8
trades.20200515.123804,0,3,1,2,-10807,3
trades.20200515.123805,0,0,0,0,0,0
trades.20200515.123806,0,1,1,0,-1050,1
trades.20200515.123807,0,0,0,0,0,0
trades.20200515.123808,0,0,0,0,0,0
trades.20200515.123901,0,0,0,0,0,0
summary.20200515,0,4,2,2,-11857,4
trades.20200514.123804,0,2,1,1,-6519,2
trades.20200514.123805,0,1,1,0,-2255,1
trades.20200514.123806,0,0,0,0,0,0
trades.20200514.123807,1,0,1,0,1507,1
trades.20200514.123808,0,1,0,1,-3456,1
summary.20200514,1,4,3,2,-10723,5
trades.20200513.123804,1,2,1,2,3053,3
trades.20200513.123805,0,0,0,0,0,0
trades.20200513.123807,0,0,0,0,0,0
trades.20200513.123808,0,1,0,1,-5409,1
trades.20200513.123806,0,1,1,0,-2991,1
summary.20200513,1,4,2,3,-5347,5
trades.20200512.123804,0,3,0,3,-12419,3
trades.20200512.123805,0,0,0,0,0,0
trades.20200512.123806,0,0,0,0,0,0
trades.20200512.123807,0,1,0,1,-3545,1
trades.20200512.123808,0,1,0,1,-5109,1
trades.20200512.123901,0,0,0,0,0,0
summary.20200512,0,5,0,5,-21073,5
trades.20200511.123804,0,3,2,1,-11594,3
trades.20200511.123805,0,0,0,0,0,0
trades.20200511.123806,0,3,1,2,-13273,3
trades.20200511.123807,0,0,0,0,0,0
trades.20200511.123808,0,0,0,0,0,0
summary.20200511,0,6,3,3,-24867,6
trades.20200508.123807,0,1,0,1,-3611,1
trades.20200508.123804,0,1,0,1,-3897,1
trades.20200508.123805,0,0,0,0,0,0
trades.20200508.123806,0,0,0,0,0,0
trades.20200508.123808,0,0,0,0,0,0
trades.20200508.123901,0,0,0,0,0,0
summary.20200508,0,2,0,2,-7508,2
trades.20200507.123804,1,2,2,1,326,3
trades.20200507.123805,0,0,0,0,0,0
trades.20200507.123806,0,0,0,0,0,0
trades.20200507.123807,0,1,0,1,-5066,1
trades.20200507.123808,0,0,0,0,0,0
summary.20200507,1,3,2,2,-4740,4
trades.20200506.123804,0,2,0,2,-10054,2
trades.20200506.123805,0,0,0,0,0,0
trades.20200506.123806,0,0,0,0,0,0
trades.20200506.123807,0,0,0,0,0,0
trades.20200506.123808,0,0,0,0,0,0
summary.20200506,0,2,0,2,-10054,2
trades.20200505.123804,1,2,1,2,-10057,3
trades.20200505.123805,0,0,0,0,0,0
trades.20200505.123807,0,2,1,1,-7391,2
trades.20200505.123808,0,1,0,1,-3016,1
trades.20200505.123806,0,1,0,1,-3305,1
