##Numeric_Id    Internal_Ref    Channel_No
401025  DDIF16  3
701283  DI1V12  3
1300648 DDMN11  3
401199  DDIJ13  3
701820  DI1F24  3
701523  DI1J15  3
401132  DDIF17  3
701663  DI1F21  3
400928  DDIF13  3
401157  DDIJ12  3
400969  DDIF14  3
1300846 DDMN13  3
5200299 DAPK17  3
1300663 DDMF15  3
701622  DI1N14  3
5200273 DAPQ11  3
401256  DDIJ14  3
701309  DI1N13  3
400779  DDIF12  3
701747  DI1N16  3
1301554 DDMJ16  3
701325  DI1F19  3
1300796 DDMF18  3
701291  DI1J13  3
1300804 DDMJ12  3
701630  DI1V14  3
401215  DDIV13  3
401439  DDIJ15  3
700020  DI1F17  3
9999991 DDIZ21  3
5200547 DAPV14  3
701846  DI1V20  3
5200521 DAPX11  3
80002   TTAN14  3
401116  DDIV11  3
401306  DDIV14  3
1300861 DDMF19  3
80003   TTAN15  3
700889  DI1F12  3
1300820 DDMV12  3
401140  DDIF18  3
701804  DI1J17  3
