Date Time,,,,Event,,Survey,Actual,Prior,Revised,Relevance,Ticker
01/11/2013 08:30,US,37),,Import Price Index (MoM),Dec,0.10%,--,-0.90%,--,75.9259,IMP1CHNG Index
01/11/2013 08:30,US,38),,Import Price Index (YoY),Dec,--,--,-1.60%,--,27.7778,IMP1YOY% Index
01/11/2013 08:30,US,39),,Trade Balance,Nov,-$40.8B,--,-$42.2B,--,81.4815,USTBTOT Index
01/11/2013 14:00,US,40),,Monthly Budget Statement,Dec,-$20.0B,--,--,--,74.0741,FDDSSD Index
01/15/2013 08:30,US,41),,Empire Manufacturing,Jan,--,--,-8.1,--,80.5556,EMPRGBCI Index
01/15/2013 08:30,US,42),,Advance Retail Sales,Dec,--,--,0.30%,--,88.8889,RSTAMOM Index
01/15/2013 08:30,US,43),,Retail Sales Less Autos,Dec,--,--,0.00%,--,62.2222,RSTAXMOM Index
01/15/2013 08:30,US,44),,Retail Sales Ex Auto & Gas,Dec,--,--,0.70%,--,58.3333,RSTAXAG% Index
01/15/2013 08:30,US,45),,"Retail Sales ""Control Group""",Dec,--,--,0.50%,--,5.55556,RSTAXAGM Index
01/15/2013 08:30,US,46),,Producer Price Index (MoM),Dec,--,--,-0.80%,--,85.1852,PPI CHNG Index
01/15/2013 08:30,US,47),,PPI Ex Food & Energy (MoM),Dec,--,--,0.10%,--,68.1481,PXFECHNG Index
01/15/2013 08:30,US,48),,Producer Price Index (YoY),Dec,--,--,1.50%,--,66.6667,PPI YOY Index
01/15/2013 08:30,US,49),,PPI Ex Food & Energy (YoY),Dec,--,--,2.20%,--,64.8148,PPI XYOY Index
01/15/2013 10:00,US,50),,Business Inventories,Nov,--,--,0.40%,--,35.1852,MTIBCHNG Index
01/16/2013 07:00,US,51),,MBA Mortgage Applications,11-Jan,--,--,--,--,93.75,MBAVCHNG Index
01/16/2013 08:30,US,52),,Consumer Price Index (MoM),Dec,--,--,-0.30%,--,93.5185,CPI CHNG Index
01/16/2013 08:30,US,53),,CPI Ex Food & Energy (YoY),Dec,--,--,1.90%,--,43.5185,CPI XYOY Index
01/16/2013 08:30,US,54),,Consumer Price Index (YoY),Dec,--,--,1.80%,--,55.5556,CPI YOY Index
01/16/2013 08:30,US,55),,CPI Core Index SA,Dec,--,--,231.254,--,30.5556,CPUPAXFE Index
01/16/2013 08:30,US,56),,CPI Ex Food & Energy (MoM),Dec,--,--,0.10%,--,74.8148,CPUPXCHG Index
01/16/2013 08:30,US,57),,Consumer Price Index NSA,Dec,--,--,230.221,--,26.8519,CPURNSA Index
01/16/2013 09:00,US,58),,Total Net TIC Flows,Nov,--,--,-$56.7B,--,63.8889,FRNTTNET Index
01/16/2013 09:00,US,59),,Net Long-term TIC Flows,Nov,--,--,$1.3B,--,72.2222,FRNTTOTL Index
01/16/2013 09:15,US,60),,Industrial Production,Dec,--,--,1.10%,--,86.1111,IP CHNG Index
01/16/2013 09:15,US,61),,Capacity Utilization,Dec,--,--,78.40%,--,60.2778,CPTICHNG Index
01/16/2013 09:15,US,62),,Manufacturing (SIC) Production,Dec,--,--,1.10%,--,1.85185,IPMGCHNG Index
01/16/2013 10:00,US,63),,NAHB Housing Market Index,Jan,--,--,47,--,37.963,USHBMIDX Index
01/16/2013 14:00,US,64),,U.S. Federal Reserve Releases Beige Book,,,,,,0,
01/17/2013 08:30,US,65),,Building Permits MOM%,Dec,--,--,3.60%,3.70%,15.7407,NHCHATCH Index
01/17/2013 08:30,US,66),,Housing Starts MOM%,Dec,--,--,-3.00%,--,17.5926,NHCHSTCH Index
01/17/2013 08:30,US,67),,Building Permits,Dec,--,--,899K,900K,61.5741,NHSPATOT Index
01/17/2013 08:30,US,68),,Housing Starts,Dec,--,--,861K,--,87.963,NHSPSTOT Index
01/17/2013 08:30,US,69),,Initial Jobless Claims,12-Jan,--,--,--,--,99.0741,INJCJC Index
01/17/2013 08:30,US,70),,Continuing Claims,5-Jan,--,--,--,--,69.3519,INJCSP Index
01/17/2013 09:45,US,71),,Bloomberg Economic Expectations,Jan,--,--,0,--,22.2222,COMFBTWR Index
01/17/2013 09:45,US,72),,Bloomberg Consumer Comfort,13-Jan,--,--,--,--,61.1111,COMFCOMF Index
01/17/2013 10:00,US,73),,Philadelphia Fed.,Jan,--,--,8.1,--,75,OUTFGAF Index
01/18/2013 09:55,US,74),,U. of Michigan Confidence,Jan,--,--,72.9,--,92.5926,CONSSENT Index
01/22/2013 08:30,US,75),,Chicago Fed Nat Activity Index,Dec,--,--,0.1,--,60.1852,CFNAI Index
01/22/2013 10:00,US,76),,Richmond Fed Manufact. Index,Jan,--,--,5,--,67.5926,RCHSINDX Index
01/22/2013 10:00,US,77),,Existing Home Sales,Dec,--,--,5.04M,--,87.037,ETSLTOTL Index
01/22/2013 10:00,US,78),,Existing Home Sales MoM,Dec,--,--,5.90%,--,50,ETSLMOM Index
01/23/2013 07:00,US,79),,MBA Mortgage Applications,18-Jan,--,--,--,--,93.75,MBAVCHNG Index
01/23/2013 09:00,US,80),,House Price Index MoM,Nov,--,--,0.50%,--,65.7407,HPIMMOM% Index
01/24/2013 08:30,US,81),,Initial Jobless Claims,19-Jan,--,--,--,--,99.0741,INJCJC Index
01/24/2013 08:30,US,82),,Continuing Claims,12-Jan,--,--,--,--,69.3519,INJCSP Index
01/24/2013 08:58,US,83),,Markit US PMI Preliminary,Jan,--,--,--,--,2.77778,ECONMUS Index
01/24/2013 09:45,US,84),,Bloomberg Consumer Comfort,20-Jan,--,--,--,--,61.1111,COMFCOMF Index
01/24/2013 10:00,US,85),,Leading Indicators,Dec,--,--,-0.20%,--,84.2593,LEI CHNG Index
01/24/2013 11:00,US,86),,Kansas City Fed Manf. Activity,Jan,--,--,-2,--,7.40741,KCLSSACI Index
01/25/2013 10:00,US,87),,New Home Sales MoM,Dec,--,--,4.40%,--,47.2222,NHSLCHNG Index
01/25/2013 10:00,US,88),,New Home Sales,Dec,--,--,377K,--,89.8148,NHSLTOT Index
01/28/2013 08:30,US,89),,Durable Goods Orders,Dec,--,--,0.70%,--,90.7407,DGNOCHNG Index
01/28/2013 08:30,US,90),,Durables Ex Transportation,Dec,--,--,1.60%,--,72.5926,DGNOXTCH Index
01/28/2013 08:30,US,91),,Cap Goods Orders Nondef Ex Air,Dec,--,--,2.70%,--,52.7778,CGNOXAI% Index
01/28/2013 08:30,US,92),,Cap Goods Ship Nondef Ex Air,Dec,--,--,1.80%,--,49.0741,CGSHXAI% Index
01/28/2013 10:00,US,93),,Pending Home Sales MoM,Dec,--,--,1.70%,--,73.1481,USPHTMOM Index
01/28/2013 10:00,US,94),,Pending Home Sales YoY,Dec,--,--,8.90%,--,20.3704,USPHTYOY Index
01/28/2013 10:30,US,95),,Dallas Fed Manf. Activity,Jan,--,--,6.8,--,62.037,DFEDGBA Index
01/29/2013 09:00,US,96),,S&P/CS 20 City MoM% SA,Nov,--,--,0.66%,--,16.6667,SPCS20SM Index
01/29/2013 09:00,US,97),,S&P/CS Composite-20 YoY,Nov,--,--,4.31%,--,45.3704,SPCS20Y% Index
01/29/2013 09:00,US,98),,S&P/CaseShiller Home Price Ind,Nov,--,--,146.08,--,53.7037,SPCS20 Index
01/29/2013 10:00,US,99),,Consumer Confidence,Jan,--,--,65.1,--,95.3704,CONCCONF Index
01/30/2013 07:00,US,100),,MBA Mortgage Applications,25-Jan,--,--,--,--,93.75,MBAVCHNG Index
01/30/2013 08:15,US,101),,ADP Employment Change,Jan,--,--,--,--,76.8519,ADP CHNG Index
01/30/2013 08:30,US,102),,GDP QoQ (Annualized),4Q A,--,--,3.10%,--,96.2963,GDP CQOQ Index
01/30/2013 08:30,US,103),,GDP Price Index,4Q A,--,--,2.70%,--,77.037,GDP PIQQ Index
01/30/2013 08:30,US,104),,Core PCE QoQ,4Q A,--,--,1.10%,--,67.4074,GDPCPCEC Index
01/30/2013 08:30,US,105),,Personal Consumption,4Q A,--,--,1.60%,--,67.4074,GDPCTOT% Index
01/30/2013 14:15,US,106),,FOMC Rate Decision,30-Jan,--,--,0.25%,--,97.2222,FDTR Index
01/31/2013 07:30,US,107),,Challenger Job Cuts YoY,Jan,--,--,--,--,29.6296,CHALYOY% Index
01/31/2013 08:30,US,108),,Employment Cost Index,4Q,--,--,0.40%,--,71.2963,ECI SA% Index
01/31/2013 08:30,US,109),,Personal Income,Dec,--,--,0.60%,--,83.3333,PITLCHNG Index
01/31/2013 08:30,US,110),,Personal Spending,Dec,--,--,0.40%,--,83.3333,PCE CRCH Index
01/31/2013 08:30,US,111),,PCE Deflator (MoM),Dec,--,--,-0.20%,--,3.7037,PCE DEFM Index
01/31/2013 08:30,US,112),,PCE Deflator (YoY),Dec,--,--,1.40%,--,32.4074,PCE DEFY Index
01/31/2013 08:30,US,113),,PCE Core (MoM),Dec,--,--,0.00%,--,58.3333,PCE CMOM Index
01/31/2013 08:30,US,114),,PCE Core (YoY),Dec,--,--,1.50%,--,34.2593,PCE CYOY Index
01/31/2013 08:30,US,115),,Initial Jobless Claims,26-Jan,--,--,--,--,99.0741,INJCJC Index
01/31/2013 08:30,US,116),,Continuing Claims,19-Jan,--,--,--,--,69.3519,INJCSP Index
01/31/2013 09:00,US,117),,NAPM-Milwaukee,Jan,--,--,--,--,25.9259,MAPMINDX Index
01/31/2013 09:45,US,118),,Chicago Purchasing Manager,Jan,--,--,51.6,--,77.7778,CHPMINDX Index
01/31/2013 09:45,US,119),,Bloomberg Consumer Comfort,27-Jan,--,--,--,--,61.1111,COMFCOMF Index
02/01/2013 08:30,US,120),,Change in Nonfarm Payrolls,Jan,--,--,--,--,98.1481,NFP TCH Index
02/01/2013 08:30,US,121),,Change in Private Payrolls,Jan,--,--,--,--,18.5185,NFP PCH Index
02/01/2013 08:30,US,122),,Change in Manufact. Payrolls,Jan,--,--,--,--,68.7037,USMMMNCH Index
02/01/2013 08:30,US,123),,Unemployment Rate,Jan,--,--,7.70%,--,88.3333,USURTOT Index
02/01/2013 08:30,US,124),,Avg Hourly Earning MOM All Emp,Jan,--,--,--,--,14.8148,AHE MOM% Index
02/01/2013 08:30,US,125),,Avg Hourly Earning YOY All Emp,Jan,--,--,--,--,13.8889,AHE YOY% Index
02/01/2013 08:30,US,126),,Avg Weekly Hours All Employees,Jan,--,--,--,--,12.963,AWH TOTL Index
02/01/2013 08:30,US,127),,Change in Household Employment,Jan,--,--,--,--,10.1852,USEMNCHG Index
02/01/2013 08:30,US,128),,Underemployment Rate (U6),Jan,--,--,--,--,8.33333,USUDMAER Index
02/01/2013 08:58,US,129),,Markit US PMI Final,Jan,--,--,--,--,0.925926,ECONMUSF Index
02/01/2013 09:55,US,130),,U. of Michigan Confidence,Jan,--,--,--,--,92.5926,CONSSENT Index
02/01/2013 10:00,US,131),,Construction Spending MoM,Dec,--,--,-0.30%,--,78.7037,CNSTTMOM Index
02/01/2013 10:00,US,132),,ISM Manufacturing,Jan,--,--,50.7,--,94.4444,NAPMPMI Index
02/01/2013 10:00,US,133),,ISM Prices Paid,Jan,--,--,55.5,--,68.5185,NAPMPRIC Index
02/01/2013 17:00,US,134),,Domestic Vehicle Sales,Jan,--,--,--,--,31.4815,SAARDTOT Index
02/01/2013 17:00,US,135),,Total Vehicle Sales,Jan,--,--,--,--,38.8889,SAARTOTL Index
02/04/2013 09:45,US,136),,ISM New York,Jan,--,--,--,--,6.48148,NYPMCURR Index
02/04/2013 10:00,US,137),,Factory Orders,Dec,--,--,0.80%,--,82.4074,TMNOCHNG Index
02/05/2013 10:00,US,138),,ISM Non-Manf. Composite,Jan,--,--,--,--,70.3704,NAPMNMI Index
02/05/2013 10:00,US,139),,IBD/TIPP Economic Optimism,Feb,--,--,--,--,4.62963,ECONUSIB Index
02/06/2013 07:00,US,140),,MBA Mortgage Applications,1-Feb,--,--,--,--,93.75,MBAVCHNG Index
02/07/2013 08:00,US,141),,RBC Consumer Outlook Index,Feb,--,--,--,--,9.25926,ICSHNATL Index
02/07/2013 08:30,US,142),,Unit Labor Costs,4Q P,--,--,-1.90%,--,28.7037,COSTNFR% Index
02/07/2013 08:30,US,143),,Nonfarm Productivity,4Q P,--,--,2.90%,--,36.1111,PRODNFR% Index
02/07/2013 08:30,US,144),,Initial Jobless Claims,2-Feb,--,--,--,--,99.0741,INJCJC Index
02/07/2013 08:30,US,145),,Continuing Claims,26-Jan,--,--,--,--,69.3519,INJCSP Index
02/07/2013 09:45,US,146),,Bloomberg Consumer Comfort,3-Feb,--,--,--,--,61.1111,COMFCOMF Index
02/07/2013 15:00,US,147),,Consumer Credit,Dec,--,--,--,--,37.037,CICRTOT Index
02/08/2013 08:30,US,148),,Trade Balance,Dec,--,--,--,--,81.4815,USTBTOT Index
02/08/2013 10:00,US,149),,Wholesale Inventories,Dec,--,--,0.60%,--,79.6296,MWINCHNG Index
11-15 FEB,US,150),,Mortgage Delinquencies,4Q,--,--,7.40%,--,31.25,DLQTDLQT Index
11-15 FEB,US,151),,MBA Mortgage Foreclosures,4Q,--,--,4.07%,--,12.037,FORLTOTL Index
02/12/2013 07:30,US,152),,NFIB Small Business Optimism,Jan,--,--,--,--,56.4815,SBOITOTL Index
02/12/2013 10:00,US,153),,JOLTs Job Openings,Dec,--,--,--,--,11.1111,JOLTTOTL Index
02/12/2013 14:00,US,154),,Monthly Budget Statement,Jan,--,--,--,--,74.0741,FDDSSD Index
02/13/2013 07:00,US,155),,MBA Mortgage Applications,8-Feb,--,--,--,--,93.75,MBAVCHNG Index
02/13/2013 08:30,US,156),,Import Price Index (MoM),Jan,--,--,--,--,75.9259,IMP1CHNG Index
02/13/2013 08:30,US,157),,Import Price Index (YoY),Jan,--,--,-1.60%,--,27.7778,IMP1YOY% Index
02/13/2013 08:30,US,158),,Advance Retail Sales,Jan,--,--,--,--,88.8889,RSTAMOM Index
02/13/2013 08:30,US,159),,Retail Sales Less Autos,Jan,--,--,--,--,62.2222,RSTAXMOM Index
02/13/2013 08:30,US,160),,Retail Sales Ex Auto & Gas,Jan,--,--,--,--,58.3333,RSTAXAG% Index
02/13/2013 08:30,US,161),,"Retail Sales ""Control Group""",Jan,--,--,--,--,5.55556,RSTAXAGM Index
02/13/2013 10:00,US,162),,Business Inventories,Dec,--,--,--,--,35.1852,MTIBCHNG Index
02/14/2013 08:30,US,163),,Initial Jobless Claims,9-Feb,--,--,--,--,99.0741,INJCJC Index
02/14/2013 08:30,US,164),,Continuing Claims,2-Feb,--,--,--,--,69.3519,INJCSP Index
02/14/2013 09:45,US,165),,Bloomberg Consumer Comfort,10-Feb,--,--,--,--,61.1111,COMFCOMF Index
02/15/2013 08:30,US,166),,Empire Manufacturing,Feb,--,--,--,--,80.5556,EMPRGBCI Index
02/15/2013 09:00,US,167),,Total Net TIC Flows,Dec,--,--,--,--,63.8889,FRNTTNET Index
02/15/2013 09:00,US,168),,Net Long-term TIC Flows,Dec,--,--,--,--,72.2222,FRNTTOTL Index
02/15/2013 09:15,US,169),,Industrial Production,Jan,--,--,--,--,86.1111,IP CHNG Index
02/15/2013 09:15,US,170),,Capacity Utilization,Jan,--,--,--,--,60.2778,CPTICHNG Index
02/15/2013 09:15,US,171),,Manufacturing (SIC) Production,Jan,--,--,--,--,1.85185,IPMGCHNG Index
02/15/2013 09:55,US,172),,U. of Michigan Confidence,Feb,--,--,--,--,92.5926,CONSSENT Index
02/19/2013 10:00,US,173),,NAHB Housing Market Index,Feb,--,--,--,--,37.963,USHBMIDX Index
02/20/2013 07:00,US,174),,MBA Mortgage Applications,15-Feb,--,--,--,--,93.75,MBAVCHNG Index
02/20/2013 08:30,US,175),,Building Permits MOM%,Jan,--,--,--,--,15.7407,NHCHATCH Index
02/20/2013 08:30,US,176),,Housing Starts MOM%,Jan,--,--,--,--,17.5926,NHCHSTCH Index
02/20/2013 08:30,US,177),,Building Permits,Jan,--,--,--,--,61.5741,NHSPATOT Index
02/20/2013 08:30,US,178),,Housing Starts,Jan,--,--,861K,--,87.963,NHSPSTOT Index
02/20/2013 08:30,US,179),,Producer Price Index (MoM),Jan,--,--,-0.80%,--,85.1852,PPI CHNG Index
02/20/2013 08:30,US,180),,PPI Ex Food & Energy (MoM),Jan,--,--,--,--,68.1481,PXFECHNG Index
02/20/2013 08:30,US,181),,Producer Price Index (YoY),Jan,--,--,--,--,66.6667,PPI YOY Index
02/20/2013 08:30,US,182),,PPI Ex Food & Energy (YoY),Jan,--,--,--,--,64.8148,PPI XYOY Index
02/21/2013 08:30,US,183),,Consumer Price Index (MoM),Jan,--,--,--,--,93.5185,CPI CHNG Index
02/21/2013 08:30,US,184),,CPI Ex Food & Energy (YoY),Jan,--,--,1.90%,--,43.5185,CPI XYOY Index
02/21/2013 08:30,US,185),,Consumer Price Index (YoY),Jan,--,--,--,--,55.5556,CPI YOY Index
02/21/2013 08:30,US,186),,CPI Core Index SA,Jan,--,--,--,--,30.5556,CPUPAXFE Index
02/21/2013 08:30,US,187),,CPI Ex Food & Energy (MoM),Jan,--,--,0.10%,--,74.8148,CPUPXCHG Index
02/21/2013 08:30,US,188),,Consumer Price Index NSA,Jan,--,--,--,--,26.8519,CPURNSA Index
02/21/2013 08:30,US,189),,Initial Jobless Claims,16-Feb,--,--,--,--,99.0741,INJCJC Index
02/21/2013 08:30,US,190),,Continuing Claims,9-Feb,--,--,--,--,69.3519,INJCSP Index
02/21/2013 08:58,US,191),,Markit US PMI Preliminary,Feb,--,--,--,--,2.77778,ECONMUS Index
02/21/2013 09:45,US,192),,Bloomberg Economic Expectations,Feb,--,--,--,--,22.2222,COMFBTWR Index
02/21/2013 09:45,US,193),,Bloomberg Consumer Comfort,17-Feb,--,--,--,--,61.1111,COMFCOMF Index
02/21/2013 10:00,US,194),,Philadelphia Fed.,Feb,--,--,--,--,75,OUTFGAF Index
02/21/2013 10:00,US,195),,Existing Home Sales,Jan,--,--,--,--,87.037,ETSLTOTL Index
02/21/2013 10:00,US,196),,Existing Home Sales MoM,Jan,--,--,--,--,50,ETSLMOM Index
02/21/2013 10:00,US,197),,Leading Indicators,Jan,--,--,--,--,84.2593,LEI CHNG Index
02/25/2013 08:30,US,198),,Chicago Fed Nat Activity Index,Jan,--,--,--,--,60.1852,CFNAI Index
02/25/2013 10:30,US,199),,Dallas Fed Manf. Activity,Feb,--,--,--,--,62.037,DFEDGBA Index
02/26/2013 09:00,US,200),,House Price Purchase Index QoQ,4Q,--,--,1.10%,--,21.2963,HPI PURQ Index
02/26/2013 09:00,US,201),,S&P/CS 20 City MoM% SA,Dec,--,--,--,--,16.6667,SPCS20SM Index
02/26/2013 09:00,US,202),,S&P/CS Composite-20 YoY,Dec,--,--,--,--,45.3704,SPCS20Y% Index
02/26/2013 09:00,US,203),,S&P/CaseShiller Home Price Ind,Dec,--,--,--,--,53.7037,SPCS20 Index
02/26/2013 09:00,US,204),,S&P/Case-Shiller US HPI YOY%,4Q,--,--,3.64%,--,24.0741,SPCSUSAY Index
02/26/2013 09:00,US,205),,House Price Index MoM,Dec,--,--,--,--,65.7407,HPIMMOM% Index
02/26/2013 09:00,US,206),,S&P/Case-Shiller US HPI,4Q,--,--,135.67,--,25,SPCSUSA Index
02/26/2013 10:00,US,207),,New Home Sales MoM,Jan,--,--,--,--,47.2222,NHSLCHNG Index
02/26/2013 10:00,US,208),,New Home Sales,Jan,--,--,377K,--,89.8148,NHSLTOT Index
02/26/2013 10:00,US,209),,Richmond Fed Manufact. Index,Feb,--,--,--,--,67.5926,RCHSINDX Index
02/26/2013 10:00,US,210),,Consumer Confidence,Feb,--,--,--,--,95.3704,CONCCONF Index
02/27/2013 07:00,US,211),,MBA Mortgage Applications,22-Feb,--,--,--,--,93.75,MBAVCHNG Index
02/27/2013 08:30,US,212),,Durable Goods Orders,Jan,--,--,--,--,90.7407,DGNOCHNG Index
02/27/2013 08:30,US,213),,Durables Ex Transportation,Jan,--,--,--,--,72.5926,DGNOXTCH Index
02/27/2013 08:30,US,214),,Cap Goods Orders Nondef Ex Air,Jan,--,--,--,--,52.7778,CGNOXAI% Index
02/27/2013 08:30,US,215),,Cap Goods Ship Nondef Ex Air,Jan,--,--,--,--,49.0741,CGSHXAI% Index
02/27/2013 10:00,US,216),,Pending Home Sales MoM,Jan,--,--,--,--,73.1481,USPHTMOM Index
02/27/2013 10:00,US,217),,Pending Home Sales YoY,Jan,--,--,--,--,20.3704,USPHTYOY Index
02/28/2013 08:30,US,218),,GDP QoQ (Annualized),4Q S,--,--,--,--,96.2963,GDP CQOQ Index
02/28/2013 08:30,US,219),,GDP Price Index,4Q S,--,--,--,--,77.037,GDP PIQQ Index
02/28/2013 08:30,US,220),,Core PCE QoQ,4Q S,--,--,--,--,67.4074,GDPCPCEC Index
02/28/2013 08:30,US,221),,Personal Consumption,4Q S,--,--,--,--,67.4074,GDPCTOT% Index
02/28/2013 08:30,US,222),,Initial Jobless Claims,23-Feb,--,--,--,--,99.0741,INJCJC Index
02/28/2013 08:30,US,223),,Continuing Claims,16-Feb,--,--,--,--,69.3519,INJCSP Index
02/28/2013 09:00,US,224),,NAPM-Milwaukee,Feb,--,--,--,--,25.9259,MAPMINDX Index
02/28/2013 09:45,US,225),,Chicago Purchasing Manager,Feb,--,--,--,--,77.7778,CHPMINDX Index
02/28/2013 09:45,US,226),,Bloomberg Consumer Comfort,24-Feb,--,--,--,--,61.1111,COMFCOMF Index
02/28/2013 11:00,US,227),,Kansas City Fed Manf. Activity,Feb,--,--,--,--,7.40741,KCLSSACI Index
03/01/2013 08:30,US,228),,Personal Income,Jan,--,--,--,--,83.3333,PITLCHNG Index
03/01/2013 08:30,US,229),,Personal Spending,Jan,--,--,--,--,83.3333,PCE CRCH Index
03/01/2013 08:30,US,230),,PCE Deflator (MoM),Jan,--,--,--,--,3.7037,PCE DEFM Index
03/01/2013 08:30,US,231),,PCE Deflator (YoY),Jan,--,--,--,--,32.4074,PCE DEFY Index
03/01/2013 08:30,US,232),,PCE Core (MoM),Jan,--,--,--,--,58.3333,PCE CMOM Index
03/01/2013 08:30,US,233),,PCE Core (YoY),Jan,--,--,--,--,34.2593,PCE CYOY Index
03/01/2013 08:58,US,234),,Markit US PMI Final,Feb,--,--,--,--,0.925926,ECONMUSF Index
03/01/2013 09:55,US,235),,U. of Michigan Confidence,Feb,--,--,--,--,92.5926,CONSSENT Index
03/01/2013 10:00,US,236),,Construction Spending MoM,Jan,--,--,-0.30%,--,78.7037,CNSTTMOM Index
03/01/2013 10:00,US,237),,ISM Manufacturing,Feb,--,--,--,--,94.4444,NAPMPMI Index
03/01/2013 10:00,US,238),,ISM Prices Paid,Feb,--,--,--,--,68.5185,NAPMPRIC Index
03/01/2013 17:00,US,239),,Domestic Vehicle Sales,Feb,--,--,--,--,31.4815,SAARDTOT Index
03/01/2013 17:00,US,240),,Total Vehicle Sales,Feb,--,--,--,--,38.8889,SAARTOTL Index
03/04/2013 09:45,US,241),,ISM New York,Feb,--,--,--,--,6.48148,NYPMCURR Index
04-08 MAR,US,242),,Household Change in Net Worth,4Q,--,--,$1722B,--,0,NWORCHNG Index
03/05/2013 10:00,US,243),,ISM Non-Manf. Composite,Feb,--,--,--,--,70.3704,NAPMNMI Index
03/05/2013 10:00,US,244),,IBD/TIPP Economic Optimism,Mar,--,--,--,--,4.62963,ECONUSIB Index
03/06/2013 07:00,US,245),,MBA Mortgage Applications,1-Mar,--,--,--,--,93.75,MBAVCHNG Index
03/06/2013 08:15,US,246),,ADP Employment Change,Feb,--,--,--,--,76.8519,ADP CHNG Index
03/06/2013 10:00,US,247),,Factory Orders,Jan,--,--,--,--,82.4074,TMNOCHNG Index
