Date Time,,,,Event,,Survey,Actual,Prior,Revised,Relevance,Ticker
02/07/2014 08:30,US,151),,Average Hourly Earnings MoM,Jan,--,--,--,--,19.469,AHE MOM% Index
02/07/2014 08:30,US,152),,Average Hourly Earnings YoY,Jan,--,--,--,--,17.6991,AHE YOY% Index
02/07/2014 08:30,US,153),,Average Weekly Hours All Employees,Jan,--,--,--,--,18.5841,AWH TOTL Index
02/07/2014 08:30,US,154),,Change in Household Employment,Jan,--,--,--,--,14.1593,USEMNCHG Index
02/07/2014 08:30,US,155),,Underemployment Rate,Jan,--,--,--,--,12.3894,USUDMAER Index
02/07/2014 15:00,US,156),,Consumer Credit,Dec,--,--,--,--,39.823,CICRTOT Index
02/07/2014 15:00,US,157),,Labor Force Participation Rate,Jan,--,--,--,--,0.884956,PRUSTOT Index
02/10/2014 02/14,US,158),,Mortgage Delinquencies,4Q,--,--,6.41%,--,28.3186,DLQTDLQT Index
02/10/2014 02/14,US,159),,MBA Mortgage Foreclosures,4Q,--,--,3.08%,--,16.8142,FORLTOTL Index
02/11/2014 07:30,US,160),,NFIB Small Business Optimism,Jan,--,--,--,--,58.4071,SBOITOTL Index
02/11/2014 10:00,US,161),,Wholesale Trade Sales MoM,Dec,--,--,--,--,2.65487,MWSLCHNG Index
02/11/2014 10:00,US,162),,JOLTs Job Openings,Dec,--,--,--,--,15.9292,JOLTTOTL Index
02/11/2014 10:00,US,163),,Wholesale Inventories MoM,Dec,--,--,--,--,78.7611,MWINCHNG Index
02/12/2014 07:00,US,164),,MBA Mortgage Applications,7-Feb,--,--,--,--,92.3077,MBAVCHNG Index
02/12/2014 14:00,US,165),,Monthly Budget Statement,Jan,--,--,--,--,74.3363,FDDSSD Index
02/13/2014 08:30,US,166),,Retail Sales Advance MoM,Jan,--,--,--,--,89.3805,RSTAMOM Index
02/13/2014 08:30,US,167),,Retail Sales Ex Auto MoM,Jan,--,--,--,--,62.5664,RSTAXMOM Index
02/13/2014 08:30,US,168),,Retail Sales Ex Auto and Gas,Jan,--,--,--,--,60.177,RSTAXAG% Index
02/13/2014 08:30,US,169),,Retail Sales Control Group,Jan,--,--,--,--,9.73451,RSTAXAGM Index
02/13/2014 08:30,US,170),,Initial Jobless Claims,8-Feb,--,--,--,--,98.2301,INJCJC Index
02/13/2014 08:30,US,171),,Continuing Claims,1-Feb,--,--,--,--,68.7611,INJCSP Index
02/13/2014 09:45,US,172),,Bloomberg Consumer Comfort,9-Feb,--,--,--,--,63.7168,COMFCOMF Index
02/13/2014 10:00,US,173),,Business Inventories,Dec,--,--,--,--,38.0531,MTIBCHNG Index
02/14/2014 08:30,US,174),,Import Price Index MoM,Jan,--,--,--,--,76.9912,IMP1CHNG Index
02/14/2014 08:30,US,175),,Import Price Index YoY,Jan,--,--,--,--,29.2035,IMP1YOY% Index
02/14/2014 09:15,US,176),,Industrial Production MoM,Jan,--,--,--,--,86.7257,IP CHNG Index
02/14/2014 09:15,US,177),,Capacity Utilization,Jan,--,--,--,--,60.708,CPTICHNG Index
02/14/2014 09:15,US,178),,Manufacturing (SIC) Production,Jan,--,--,--,--,6.19469,IPMGCHNG Index
02/14/2014 09:55,US,179),,Univ. of Michigan Confidence,Feb P,--,--,--,--,92.9204,CONSSENT Index
02/18/2014 08:30,US,180),,Empire Manufacturing,Feb,--,--,--,--,81.4159,EMPRGBCI Index
02/18/2014 09:00,US,181),,Total Net TIC Flows,Dec,--,--,--,--,65.4867,FRNTTNET Index
02/18/2014 09:00,US,182),,Net Long-term TIC Flows,Dec,--,--,--,--,72.5664,FRNTTOTL Index
02/18/2014 10:00,US,183),,NAHB Housing Market Index,Feb,--,--,--,--,41.5929,USHBMIDX Index
02/19/2014 07:00,US,184),,MBA Mortgage Applications,14-Feb,--,--,--,--,92.3077,MBAVCHNG Index
02/19/2014 08:30,US,185),,Housing Starts,Jan,--,--,--,--,88.4956,NHSPSTOT Index
02/19/2014 08:30,US,186),,PPI MoM,Jan,--,--,--,--,85.8407,PPI CHNG Index
02/19/2014 08:30,US,187),,Housing Starts MoM,Jan,--,--,--,--,22.1239,NHCHSTCH Index
02/19/2014 08:30,US,188),,Building Permits,Jan,--,--,--,--,61.9469,NHSPATOT Index
02/19/2014 08:30,US,189),,PPI Ex Food and Energy MoM,Jan,--,--,--,--,68.6726,PXFECHNG Index
02/19/2014 08:30,US,190),,PPI YoY,Jan,--,--,--,--,68.1416,PPI YOY Index
02/19/2014 08:30,US,191),,Building Permits MoM,Jan,--,--,--,--,20.354,NHCHATCH Index
02/19/2014 08:30,US,192),,PPI Ex Food and Energy YoY,Jan,--,--,--,--,66.3717,PPI XYOY Index
02/19/2014 14:00,US,193),,Fed Releases Minutes from Jan 28-29 FOMC Meeting,,,,,,0,
02/20/2014 08:30,US,194),,CPI MoM,Jan,--,--,--,--,93.8053,CPI CHNG Index
02/20/2014 08:30,US,195),,CPI Ex Food and Energy MoM,Jan,--,--,--,--,75.0442,CPUPXCHG Index
02/20/2014 08:30,US,196),,CPI YoY,Jan,--,--,--,--,57.5221,CPI YOY Index
02/20/2014 08:30,US,197),,CPI Ex Food and Energy YoY,Jan,--,--,--,--,46.0177,CPI XYOY Index
02/20/2014 08:30,US,198),,Initial Jobless Claims,15-Feb,--,--,--,--,98.2301,INJCJC Index
02/20/2014 08:30,US,199),,CPI Core Index SA,Jan,--,--,--,--,35.3982,CPUPAXFE Index
02/20/2014 08:30,US,200),,Continuing Claims,8-Feb,--,--,--,--,68.7611,INJCSP Index
02/20/2014 08:30,US,201),,CPI Index NSA,Jan,--,--,--,--,30.9735,CPURNSA Index
02/20/2014 08:58,US,202),,Markit US PMI Preliminary,Feb,--,--,--,--,8.84956,ECONMUS Index
02/20/2014 09:45,US,203),,Bloomberg Economic Expectations,Feb,--,--,--,--,25.6637,COMFBTWR Index
02/20/2014 09:45,US,204),,Bloomberg Consumer Comfort,16-Feb,--,--,--,--,63.7168,COMFCOMF Index
02/20/2014 10:00,US,205),,Philadelphia Fed Business Outlook,Feb,--,--,--,--,76.1062,OUTFGAF Index
02/20/2014 10:00,US,206),,Leading Index,Jan,--,--,--,--,83.1858,LEI CHNG Index
02/21/2014 10:00,US,207),,Existing Home Sales MoM,Jan,--,--,--,--,49.5575,ETSLMOM Index
02/21/2014 10:00,US,208),,Existing Home Sales,Jan,--,--,--,--,87.6106,ETSLTOTL Index
02/24/2014 08:30,US,209),,Chicago Fed Nat Activity Index,Jan,--,--,--,--,61.0619,CFNAI Index
02/24/2014 10:30,US,210),,Dallas Fed Manf. Activity,Feb,--,--,--,--,62.8319,DFEDGBA Index
02/25/2014 09:00,US,211),,House Price Index MoM,Dec,--,--,--,--,67.2566,HPIMMOM% Index
02/25/2014 09:00,US,212),,House Price Purchase Index QoQ,4Q,--,--,1.96%,--,24.7788,HPI PURQ Index
02/25/2014 09:00,US,213),,S&P/CS 20 City MoM SA,Dec,--,--,--,--,21.2389,SPCS20SM Index
